,Datetime,Tags,Like_Count,Location,User_Name,URL,Location_URL
35,2019년 12월 19일,"['#동명동', '#장동', '#andcake', '#동명동케이크', '#동명동디저트', '#치즈케이크', '#조각케이크', '#가나슈생크림케이크', '#모카케이크', '#모카컵케이크', '#컵케이크', '#자연광', '#매장샷', '#동명동맛집', '#포장', '#먹스타그램', '#맛스타그램', '#디저트그램', '#디저트', '#케이크', '#좋아요반사', '#좋아요테러', '#첫줄반사', '#첫줄안녕', '#likeforlikes', '#followforfollowback', '#일상', '#소통', '#광주디저트', '#광주카페']",39,Andcake,jitt_muksta_,https://www.instagram.com/p/B6PJXpAhtDG/,https://www.instagram.com/explore/locations/2038945229520790/andcake/
36,2019년 12월 20일,"['#향리단커피', '#향리단스콘', '#향남맛집', '#스콘', '#스콘맛집', '#화성카페', '#향남카페', '#수원카페', '#동탄카페', '#봉담카페', '#스콘카페', '#밀크티', '#레몬케이크', '#파운드케이크', '#온더테이블', '#카페투어', '#신상카페', '#휘낭시에', '#치즈케이크', '#브라우니', '#딸기', '#요거트', '#그릭요거트']",36,향리단커피,hrdcoffee,https://www.instagram.com/p/B6SXNk8gTkc/,https://www.instagram.com/explore/locations/644912432628431/
37,2019년 12월 29일,"['#데이리룩', '#일상그램', '#카페투어', '#카페', '#가로수길카페', '#c27', '#치즈케이크', '#인스타그램', '#좋아요', '#좋아요반사', '#cafe', '#cafestagram', '#instagood', '#instsdaily', '#dailylife', '#cake', '#cheesecake', '#coffee']",37,C27,pink_rose_1227,https://www.instagram.com/p/B6nxc9aJkYA/,https://www.instagram.com/explore/locations/1010807364/c27/
38,2019년 12월 28일,"['#하프파운드', '#구움과자전문점', '#연말선물추천']",27,Half-Pound / 하프파운드,half__pound,https://www.instagram.com/p/B6mrpKPJ7wA/,https://www.instagram.com/explore/locations/100266011479045/half-pound/
39,2019년 12월 25일,"['#크리스마스', '#엄마생신', '#hbd', '#구풍갈비', '#점심예약필수', '#떡갈비', '#치즈케이크', '#파리바게트', '#맛있는데']",35,구풍갈비,heeoneeee,https://www.instagram.com/p/B6fSeeAAgkw/,https://www.instagram.com/explore/locations/445454585/
40,2019년 12월 27일,[],135,목포대학교 도림캠퍼스,j_fa1th,https://www.instagram.com/p/B6kLuE_AneR/,https://www.instagram.com/explore/locations/335396256539472/
41,2019년 12월 24일,"['#크리스마스이브', '#크리스마스', '#한스오븐', '#마카롱', '#대전마카롱', '#신탄진마카롱', '#무색소마카롱', '#치즈케이크', '#대전맛집', '#한스오븐마카롱', '#macarons', '#디저트', '#dessert', '#케이크', '#커피', '#coffee', '#먹방', '#jmt', '#photography', '#일상']",30,한스오븐 HAN’s OVEN,hans_oven,https://www.instagram.com/p/B6b0m4bl4_m/,https://www.instagram.com/explore/locations/1873605409359877/hans-oven/
42,2019년 12월 28일,"['#머랭꽃다발', '#마카롱', '#세종시마카롱', '#새롬동카페', '#마카롱맛집', '#예쁜카페', '#두헤브마카롱', '#커피숍', '#새롬동카페', '#마카롱', '#예쁜카페', '#좌식테이블카페', '#세종시마카롱', '#커피맛좋은카페', '#치즈케이크', '#수제디저트', '#수제마카롱', '#머랭쿠키', '#세종시머랭쿠키', '#스콘', '#새롬동마카롱', '#슈', '#에끌레어', '#그래놀라', '#영양간식', '#마들렌', '#티라미수']",14,세종시 새롬동,junghee0383,https://www.instagram.com/p/B6mkl3kFYul/,https://www.instagram.com/explore/locations/1503173289705910/
43,2019년 10월 4일,"['#좋아요', '#좋아요반사', '#좋아요그램', '#좋아요환영', '#좋아요테러', '#좋아요꾹', '#좋아요폭탄', '#카페', '#카페투어', '#카페스타그램', '#케이크', '#케이크주문제작', '#치즈케이크', '#차은우', '#차', '#photo', '#cafe', '#cafestagram', '#cafestagram', '#follow4followback', '#instafollow']",46,anzu to momo,aya.sandayou,https://www.instagram.com/p/B3MMHAWHJ4x/,https://www.instagram.com/explore/locations/1293151370772202/anzu-to-momo/
44,2019년 12월 24일,"['#치즈케이크', '#딸기치즈케이크', '#관악구', '#신림동', '#신림카페', '#신림역카페', '#신림디저트카페', '#신림주문케이크', '#신림케이크', '#12월', '#크리스마스이브']",46,신림동,floresta229,https://www.instagram.com/p/B6cYjp1HmrU/,https://www.instagram.com/explore/locations/1034946786/
45,2019년 12월 24일,"['#베이킹특강', '#일상', '#기린중', '#딸기케이크', '#치즈케이크', '#딸기', '#겨울', '#제철', '#맛나요']",22,Jeonju,kanghye82,https://www.instagram.com/p/B6cDgx4nKST/,https://www.instagram.com/explore/locations/245713997/jeonju/
46,2019년 12월 25일,"['#아쉽다', '#미니치즈케이크', '#귀엽다', '#크리스마스분위기물씬', '#크리스마스케이크', '#둘이먹기딱좋아', '#치즈케이크', '#카페', '#카페드라무', '#마곡카페', '#발산역카페', '#양천향교역카페', '#양천향교카페']",13,마곡지구,cafe_de_lamour,https://www.instagram.com/p/B6fX2MeBiVe/,https://www.instagram.com/explore/locations/341224882/
47,2019년 12월 26일,"['#포하프', '#fourhalf', '#포하프카페', '#포하프공방', '#가죽공방카페', '#부산가죽공방카페', '#해운대카페', '#수영카페', '#센텀카페', '#영화의전당', '#apec나루공원', '#카야토스트', '#치즈케이크', '#부산데이트코스', '#티타임', '#인테리어', '#공간', '#데일리', '#카페투어', '#부산카페투어', '#daily', '#onthetable', '#coffee', '#cafetour']",42,Fourhalf,_fourhalf_,https://www.instagram.com/p/B6hYskwJ1jg/,https://www.instagram.com/explore/locations/555697844765366/fourhalf/
48,2019년 12월 25일,"['#21', '#티라미수맛집']",152,Caffè Gilli,21.______,https://www.instagram.com/p/B6f3OXhjk8J/,https://www.instagram.com/explore/locations/1432862/caffe-gilli/
49,2019년 12월 27일,[],51,소나네,cafe_sonane,https://www.instagram.com/p/B6j_KwbjE4u/,https://www.instagram.com/explore/locations/434744897001601/
50,2019년 12월 25일,"['#크리스마스', '#스타벅스', '#초코케이크', '#치즈케이크', '#아메리카노', '#커피', '#감기몸살', '#아파요']",53,스타벅스 철산역점,eunju198,https://www.instagram.com/p/B6fjHHpgn95/,https://www.instagram.com/explore/locations/100418648071402/
