,count,word
646,1,#8d
647,5,#카페오십이도
648,5,#카페52도
649,5,#오십이도
650,2,#stollen
651,2,#cristollen
652,9,#답례품
653,8,#홍대
654,1,#토마식당
655,1,#피오니
656,2,#딸기빙수
657,1,#초코치즈케이크
658,1,#게임방
659,2,#인생네컷
660,1,#제임스시카고피자
661,2,#시카고피자
662,1,#리코타치즈샐러드
663,1,#천안
664,2,#맛있엉
665,15,#디저트그램
666,1,#분위기보소
667,2,#밀크티맛집
668,1,#갬성적이야
669,1,#아일
670,1,#아일커피
671,1,#흥하세요
672,1,#여유로운
673,22,#주말
674,1,#드라이브하기좋은날
675,1,#연말연시
676,1,#꽃향기
677,1,#백합
678,2,#가토쇼콜라
679,1,#진저라떼
680,2,#힐링카페
681,4,#안동여행
682,4,#안동가볼만한곳
683,1,#봉정사
684,2,#봉정사카페
685,2,#그녀의홈카페
686,8,#tokyocafe
687,6,#aworks
688,5,#토쿄카페
689,11,#일본카페
690,5,#chefoodo
691,5,#xmas
692,4,#디저트정
693,26,#바스크치즈케이크
694,1,#카페도노
695,1,#도노카페
696,1,#능곡
697,1,#숨은카페
698,1,#능곡카페추천
699,1,#토당동카페
700,1,#토당동카페추천
701,9,#일산카페
702,8,#카페맛집
703,1,#제주신화월드
704,1,#제주신화월드메리어트리조트관
705,1,#제주스타벅스
706,1,#제주스타벅스한정메뉴
707,1,#까망크림프라푸치노
708,15,#스타벅스
709,4,#맛있다그램
710,1,#호텔라운지바
711,1,#조니워커블랙라벨
712,21,#치즈
713,1,#에멘탈치즈
714,1,#시바스리가
715,1,#제주칵테일
716,1,#양주가더좋은데
717,1,#돈많이벌자
718,2,#대구맛집
719,1,#대구레스토랑
720,1,#범어동맛집
721,1,#아트리움
722,1,#레스토랑
723,5,#스테이크
724,1,#에스까르고
725,1,#동네맛집
726,1,#동네커피숍
727,1,#커피방
728,49,#맛스타그램
729,12,#foodie
730,18,#존맛탱
731,8,#맛집추천
732,6,#맛집스타그램
733,27,#jmt
734,1,#lunch
735,1,#무화과타르트
736,1,#키슈
737,1,#카이커피
738,12,#바닐라라떼
739,13,#톰과제리치즈케이크
740,1,#다대포
741,1,#다대포항
742,1,#다대씨파크
743,1,#다대회센터
744,1,#다대포카페
745,1,#다대포카이커피
746,1,#주말오후
747,1,#뒹굴다가
748,1,#급카페
749,1,#귀요미들
750,1,#남매맘
751,75,#데일리
752,8,#제주
753,1,#용꽈배기
754,1,#파꽈배기
755,2,#핫도그
756,1,#고로케
757,2,#하멜치즈몽
758,1,#제주먹방
759,1,#제주맛집
760,3,#제주여행
761,1,#후루꾸씨먹방
762,1,#가족과함께
763,1,#병실에서
764,1,#맛나게
765,1,#맛난고기
766,1,#필수코스
767,1,#울엄마
768,1,#3월에
769,1,#꽃구경
770,1,#걸어서
771,1,#가자구요
772,2,#엄마
773,1,#사랑해
774,1,#힘내기
775,1,#주님께감사
776,1,#주사랑
777,6,#말차라떼
778,3,#생딸기우유
