,Location,Datetime,Tags,Like_Count,User_Name,url
54,I Am Autumn,2019년 12월 25일,"['#카페', '#카페스타그램', '#연남동', '#연남동맛집', '#연남동카페', '#아이엠어텀', '#홍대카페', '#커피', '#케익', '#크리스마스', '#치즈케이크', '#홍대맛집', '#cafe', '#coffee', '#cake', '#christmas', '#일상', '#daily']",5,daily_cafemap,https://www.instagram.com/p/B6MLEnzlsJ2/
55,Jeonju,2019년 12월 24일,"['#커피바움', '#전주커피바움', '#커피', '#coffeebaum', '#첫줄', '#전주여행', '#일상', '#좋아요', '#좋반', '#전주혁신도시맛집', '#혁신도시', '#커피맛집', '#라떼맛집', '#전주혁신도시카페', '#디저트', '#전주카페', '#전주혁신도시', '#전주혁신', '#아메리카노', '#수제청', '#수제과일청', '#라떼', '#치즈케이크', '#스콘', '#스콘맛집', '#수제디져트', '#소잘라떼', '#락토프리']",38,coffee_baum,https://www.instagram.com/p/B6ZKpb0pY7k/
56,"Incheon, South Korea",2019년 12월 17일,"['#서가앤쿡', '#목살한상', '#해물토마토파스타', '#가운헌', '#카페', '#이뻐', '#치즈케이크', '#맛집', '#구월동', '#옥련동', '#로데오거리']",30,k__knw,https://www.instagram.com/p/B6W-bS2l32c/
57,카페미락,2019년 12월 26일,[],20,cafemirak,https://www.instagram.com/p/B6pQqgandCS/
58,여주다방,2019년 12월 23일,"['#여주', '#오학', '#오학카페', '#여주카페', '#여주다방', '#수제케이크', '#수제쿠키', '#수제케이크주문', '#치즈케이크', '#와플', '#브라우니', '#루돌프쿠키', '#크리스마스', '#해피크리스마스퍼레이드']",47,h_se0_04,https://www.instagram.com/p/B6IW7vMhY1A/
59,Samseong-dong,2019년 12월 21일,"['#친구랑', '#카페데이트', '#분위기좋은카페', '#꽃집', '#카페', '#삼성동', '#삼성동카페', '#디저트', '#고구마라떼', '#레몬에이드', '#치즈케이크', '#와플', '#아이스크림와플', '#눈오는날', '#개짱나', '#주말데이트', '#먹방', '#다이어트식단', '#행복']",29,gojeonga,https://www.instagram.com/p/B6IMBQIn2E7/
60,The order,2019년 12월 14일,"['#디오더', '#구월동카페', '#구월동핫플', '#구월동맛집', '#딸기차', '#치즈케이크', '#신상카페', '#디저트카페', '#인천카페']",198,the.order.kr,https://www.instagram.com/p/B6SNInmllbI/
61,BORIS 보리스,2019년 12월 19일,[],52,boris_cafe_bar,https://www.instagram.com/p/B6pp52ogsmg/
62,서면 어딘가,2019년 12월 25일,['#메리크리스마스'],13,sung_sung___,https://www.instagram.com/p/B6hrTgdAbw3/
63,그리다빵영남대본점,2019년 12월 19일,[],107,gridabbang,https://www.instagram.com/p/B6C9cV5l_s7/
64,스윗로즈베이킹스튜디오,2019년 12월 19일,"['#스윗로즈', '#스윗로즈베이킹클래스', '#스윗로즈베이킹스튜디오', '#bakingclass', '#홈베이킹클래스', '#동탄베이킹클래스', '#수원베이킹클래스', '#화성베이킹클래스', '#오산베이킹클래스', '#baking', '#sweetrose', '#cake', '#chocolatecake', '#초코케이크', '#크리스마스케이크', '#christmascake', '#dessert', '#동탄케이크', '#동탄주문케이크', '#초코밀키멜로', '#수플레치즈케이크', '#치즈케이크']",87,sweetrose_baking_studio,https://www.instagram.com/p/B6J93aIleht/
65,"Busan 釜山, South Korea",2019년 12월 23일,"['#COACH', '#치즈케이크']",7,novelfactory84,https://www.instagram.com/p/B6ZhDuhFnJ3/
66,공허의 숲,2019년 12월 19일,"['#울산', '#울산카페', '#울산카페추천', '#옥동카페', '#공허의숲', '#디저트카페', '#디저트판매', '#원두판매', '#드립커피', '#필터커피', '#라떼맛집', '#커피맛집', '#케이크주문', '#딸기케이크', '#치즈케이크', '#당근케이크', '#초코케이크', '#디저트포장']",9,cafe_emptyforest,https://www.instagram.com/p/B6NLul2Ab46/
67,소나네,2019년 12월 27일,[],51,cafe_sonane,https://www.instagram.com/p/B6FpAR3J7Lp/
68,룰리커피,2019년 12월 25일,"['#고모역카페', '#룰리커피', '#치즈케이크', '#케이크', '#디저트', '#카페', '#카페투어', '#카페스타그램']",26,mazirit,https://www.instagram.com/p/B6UUs00lGsm/
69,8d Cafe,2019년 12월 14일,"['#8dcafe', '#치즈케이크', '#도산공원카페', '#8d']",15,ymh0614,https://www.instagram.com/p/B6HwkIsJxN8/
70,오십이도,2019년 12월 25일,"['#카페오십이도', '#카페52도', '#오십이도']",39,cafe_5_2,https://www.instagram.com/p/B6Rpa8tJgwp/
71,"Busan, South Korea",2019년 12월 16일,"['#유나유리베이커리', '#크리스마스', '#크리스마스케이크', '#치즈케이크', '#생크림케이크', '#초코생크림케이크', '#슈톨렌', '#부산빵집', '#빵', '#온천천', '#부산', '#식빵맛집', '#탕종식빵', '#시오빵', '#메론빵', '#bread', '#breadlover', '#cristmas', '#cristmascake', '#stollen', '#cristollen']",52,yunayuri_bakery,https://www.instagram.com/p/B6jr3LjgE8d/
72,신동카페거리,2019년 12월 27일,"['#유마카롱', '#신동', '#수원마카롱', '#마카롱', '#마카롱맛집', '#신동마카롱', '#영통마카롱', '#망포마카롱', '#매탄동마카롱', '#동탄마카롱', '#수원맛집', '#인계동맛집', '#광교맛집', '#마카롱택배', '#일상', '#한입마카롱', '#미니마카롱', '#선물', '#맛집', '#디저트맛집', '#치즈케이크', '#영통맛집', '#youmacaron', '#macarons', '#톰쇼콜라케이크', '#신동카페거리', '#제리치즈케이크', '#답례품']",181,you_macaron,https://www.instagram.com/p/B6qDczJFNHI/
73,오십이도,2019년 12월 26일,"['#오십이도', '#카페오십이도', '#카페52도']",31,cafe_5_2,https://www.instagram.com/p/B6K1IV1lh3u/
74,홍대입구역,2019년 12월 28일,"['#홍대', '#연남동맛집', '#토마식당', '#홍대카페', '#피오니', '#딸기빙수', '#치즈케이크', '#초코치즈케이크', '#게임방', '#인생네컷', '#제임스시카고피자', '#시카고피자', '#리코타치즈샐러드']",57,991207_soon,https://www.instagram.com/p/B6hz56Hhr67/
75,천안터미널 근처 이곳저곳,2019년 12월 13일,"['#천안', '#카페투어', '#맛있엉', '#디저트그램', '#분위기보소', '#치즈케이크', '#아메리카노', '#밀크티맛집', '#갬성적이야', '#아일', '#아일커피', '#흥하세요']",22,_ssonyou_92,https://www.instagram.com/p/B6ft6BXpEto/
76,스윗레시피 Sweet Recipe,2019년 12월 22일,['#스윗레시피'],229,sweet_0310,https://www.instagram.com/p/B6cN_U9lSes/
77,그녀의홈카페,2019년 12월 28일,"['#여유로운', '#주말', '#드라이브하기좋은날', '#연말', '#연말연시', '#분위기', '#꽃향기', '#백합', '#디저트', '#딸기케이크', '#치즈케이크', '#가토쇼콜라', '#진저라떼', '#맛집', '#힐링카페', '#안동여행', '#안동가볼만한곳', '#봉정사', '#봉정사카페', '#그녀의홈카페']",49,herhomecafe,https://www.instagram.com/p/B6HOni7JEED/
78,学芸大学駅,2019년 12월 22일,"['#tokyocafe', '#cheesecake', '#cake', '#cafe', '#aworks', '#카페', '#토쿄카페', '#커피', '#치즈케이크', '#일본카페', '#chefoodo', '#xmas']",714,gakudai.aworks,https://www.instagram.com/p/B6DbBINJG8b/
79,디저트정,2019년 12월 17일,['#디저트정'],32,dessert_jung,https://www.instagram.com/p/B6S151rFZV6/
80,토당동 373-23 카페 도노,2019년 12월 20일,"['#바스크치즈케이크', '#치즈케이크', '#카페도노', '#도노카페', '#능곡', '#숨은카페', '#능곡카페추천', '#토당동카페', '#토당동카페추천', '#일산카페', '#카페맛집']",5,caffedono77,https://www.instagram.com/p/B6UisbbHdFe/
81,제주신화월드 Jeju Shinhwa World,2019년 12월 22일,"['#제주신화월드', '#제주신화월드메리어트리조트관', '#제주스타벅스', '#제주스타벅스한정메뉴', '#까망크림프라푸치노', '#스타벅스', '#맛있다그램', '#호텔라운지바', '#조니워커블랙라벨', '#꾸덕꾸덕', '#치즈', '#에멘탈치즈', '#치즈케이크', '#시바스리가', '#제주칵테일', '#양주가더좋은데', '#돈많이벌자']",24,agri_selfmade,https://www.instagram.com/p/B6DWiW0n7hp/
82,소나네,2019년 12월 25일,[],59,cafe_sonane,https://www.instagram.com/p/B6aBPevlGKN/
83,아트리움,2019년 12월 26일,"['#대구맛집', '#대구레스토랑', '#범어동맛집', '#아트리움', '#레스토랑', '#스테이크', '#에스까르고', '#치즈케이크', '#크리스마스']",21,_hxnsx_,https://www.instagram.com/p/B6pL_O8Fr-J/
84,커피방,2019년 12월 20일,"['#치즈케이크', '#동네맛집', '#동네커피숍', '#커피방', '#맛스타그램', '#디저트', '#디저트그램', '#foodie', '#존맛탱', '#맛집', '#맛집추천', '#맛집스타그램', '#jmt']",6,enjoyinghj,https://www.instagram.com/p/B6VRJYSAVjY/
85,Le Petit Four,2019년 12월 20일,"['#lunch', '#무화과타르트', '#치즈케이크', '#몽블랑', '#티라미수', '#키슈']",14,zoe_sugi,https://www.instagram.com/p/B6Jrn35qwF2/
86,다대포항,2019년 12월 15일,"['#카이커피', '#바닐라라떼', '#딸기라떼', '#톰과제리치즈케이크', '#다대포', '#다대포항', '#다대씨파크', '#다대회센터', '#신상카페', '#다대포카페', '#다대포카이커피', '#치즈케이크', '#존맛탱', '#jmt', '#주말', '#주말오후', '#뒹굴다가', '#급카페', '#귀요미들', '#카페투어', '#카페추천', '#카페스타그램', '#남매맘', '#데일리', '#일상', '#소통']",86,lse.86,https://www.instagram.com/p/B6SA1trlA_Z/
